name,address,phone,rating,reviews,google_maps_url
"Hollywood Dental","1176 South 1480 West, Orem","(801) 224-5437","5","1","https://maps.google.com/?cid=6773485732140950452"
"Dr. Jason D. Allan, DDS","1176 South 1480 West, Orem","(801) 426-0774","","","https://maps.google.com/?cid=9875802993968822566"
"Dr. Kenneth A. Molen, DDS","1176 South 1480 West, Orem","(801) 426-8234","5","1","https://maps.google.com/?cid=1762709059880140989"
"Westside Auto Repair","1401 W 400 S, Orem","(801) 229-9076","4.7","119","https://maps.google.com/?cid=5594172907102105096"
"Window Tint Ninja","690 S 1545 W, Orem","","5","3","https://maps.google.com/?cid=3456149061570938408"
"FireControl","47 E Lake View Dr, Vineyard","(801) 376-8876","5","3","https://maps.google.com/?cid=17826946420733208845"
"Advantage Dental Assisting School in Utah","1176 South 1480 West, Orem","(801) 426-0774","","","https://maps.google.com/?cid=11491150488566095787"
"SR Game Nights","730 South Sleepy Ridge Drive, Orem","(801) 899-8000","4.6","11","https://maps.google.com/?cid=10427178903751702152"
"Sol Gen Renewables, Inc.","730 South Sleepy Ridge Drive, Orem","(866) 899-0559","","","https://maps.google.com/?cid=9032213643594922938"
"VerticalOps","730 South Sleepy Ridge Drive #100, Orem","(801) 899-9043","","","https://maps.google.com/?cid=4599316577340615556"
"The Villas","712 South 1840 West, Orem","","4","4","https://maps.google.com/?cid=10119680006341521005"
"The Sam Effect Personal Training","690 South 1545 West, Orem","(801) 899-9613","","","https://maps.google.com/?cid=12362810133098773525"
"Lake Side Power Station","1825 North Pioneer Lane, Lindon","(888) 221-7070","4","35","https://maps.google.com/?cid=11326250307674451014"
"Gibson & Shirts, LLC","252 Orem Boulevard, Orem","(801) 836-9720","","","https://maps.google.com/?cid=13726448083553947222"
"Cardtronics ATM","648 East 800 South, Orem","(800) 786-9666","5","2","https://maps.google.com/?cid=4893485556222265629"
"Child Care Resource & Referral","800 W University Pkwy, Orem","(801) 863-8220","","","https://maps.google.com/?cid=16605624029356151330"
"E Cosway","575 East University Parkway, Orem","(801) 229-9000","","","https://maps.google.com/?cid=14379692755839271232"
"Heritage Makers Inc","370 Center Street, Orem","(801) 437-8000","3.4","7","https://maps.google.com/?cid=18386278794183956802"
"Spanish Fork","Spanish Fork","","","","https://maps.google.com/?cid=10046355484584794576"
"Archetype Business Solutions (formerly J-Mart Printing)","260 North Main Street, Spanish Fork","(801) 798-6816","4.9","317","https://maps.google.com/?cid=2433568509739940717"
"Dr. John Evans","845 North 300 West, Spanish Fork","(801) 798-7493","4.8","5","https://maps.google.com/?cid=12327623032424829657"
"Dan's Dash In","890 North Main Street, Spanish Fork","(801) 798-3792","5","3","https://maps.google.com/?cid=4229702908357749798"
"Donahue's Welding","1962 N Main St Unit 1, Spanish Fork","(801) 794-1337","4.2","5","https://maps.google.com/?cid=8419196932398281762"
"Cole's House of Trophies","257 North Main Street, Spanish Fork","(801) 798-3015","4.8","25","https://maps.google.com/?cid=15176639378334520263"
"marvin laughlin countertops","1920 North 300 West, Spanish Fork","(801) 735-3974","3","8","https://maps.google.com/?cid=11922590866810648154"
